label,section,type,description,href,addedAt
AppShell,Layout & Shell,web,Container component for page layout with header sidebar and footer,/components/appshell,
HeaderBar,Layout & Shell,web,Top navigation and branding header component,/components/headerbar,
FooterBar,Layout & Shell,web,Footer with links branding and social media,/components/footerbar,
SidebarNav,Layout & Shell,web,Vertical navigation sidebar for main menu,/components/sidebarnav,
BurgerMenu,Layout & Shell,web,Mobile hamburger menu with overlay navigation,/components/burgermenu,
TopNav,Layout & Shell,web,Alternative top navigation component,/components/topnav,
BentoGrid,Layout & Shell,web,Responsive bento grid layout with auto-fit dense mode and customizable columns,/components/bentogrid,2026-03-05
LogoMark,Navigation,web,Brand logo mark component,/components/logomark,
SearchBar,Navigation,web,Input field for searching and filtering,/components/searchbar,
MenuTree,Navigation,web,Hierarchical menu with expandable items,/components/menutree,
Breadcrumb,Navigation,web,Navigation trail component showing page hierarchy,/components/breadcrumb,
MediaCarousel,Carousel,web,Carousel for displaying images and media with autoplay,/components/mediacarousel,
Marquee,Animation,web,Infinite horizontal or vertical scroll with pause on hover and reverse direction,/components/marquee,2026-03-05
AnimatedList,Animation,web,List with staggered sequential item animations and loop support,/components/animatedlist,2026-03-05
AnimatedStack,Animation,web,Notification stack with card pile effect — new items pop from top with bounce and stack behind,/components/animatedstack,2026-03-06
Heading,Typography,web,Text heading component with multiple levels,/components/heading,
Text,Typography,web,Body text and paragraph component,/components/text,
TextBlock,Typography,web,Multi-line text content block,/components/textblock,
Button,UI Controls,web,Versatile action button with 4 variants sizes icons and loading state,/components/button,
Input,UI Controls,web,Controlled text input with label helper error icons and 3 sizes,/components/input,
Select,UI Controls,web,Controlled native select with label helper error states and 3 sizes,/components/select,
Textarea,UI Controls,web,Controlled multi-line text area with label helper error counter and autoResize,/components/textarea,
TagChip,UI Controls,web,Small label or tag component with removable option,/components/tagchip,
StatusLabel,UI Controls,web,Badge showing component or feature status,/components/statuslabel,
ToggleSwitch,UI Controls,web,Binary switch component for on/off states,/components/toggle,
AvatarCircles,UI Controls,web,Stacked avatar circles with overlap and counter badge,/components/avatarcircles,2026-03-05
Confetti,UI Controls,web,Canvas-based confetti animation effect with customizable particles,/components/confetti,2026-03-05
ConfettiButton,UI Controls,web,Button that triggers confetti animation on click,/components/confettibutton,2026-03-05
ThemeToggler,UI Controls,web,Theme toggle with animated transition between light dark and system modes,/components/themetoggler,2026-03-05
ThemeToggleSimple,UI Controls,web,Simple theme toggle without animations for accessibility,/components/themetogglesimple,2026-03-05
